"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","372.031737611646","383.784479651324","393.633557390208","380.956072248368","410.571463772488","404.788098771267","402.30300245841","382.207708764545","405.533675087058","398.949969955596","411.184392056864","380.948648103124","322.334443867855","328.0718763126","353.762607334387","332.888064192369","343.948178901538","344.435569987217","359.090648205612","366.241183772346","359.456273950236","375.427477617536","373.551375791665","378.092001267785","386.061459755195","388.644338489229","394.335163840468","398.58819650118","397.761964746409","398.852167495349","411.164662114832","415.71480426922","428.661058931879","439.230050836379","446.654868287065","459.613417100791","470.274771368356","481.122490171197","495.626808067239","508.385274291106","524.945906845682","541.291703974584","551.903158863405","568.139322445104","588.327350259404","617.542748762953","649.930031786488","687.323153201175","720.357114994482","748.296170551721","781.153577677298","822.191849216613","865.761935715465","907.276918209657","951.332075867762","1002.38879511154","1061.99763191432","1127.16688626904","1203.06228114956","1287.82150232565","1305.25933193765",
"Bulgaria","BGR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3651.35928600927","3817.53791344539","3895.12151369247","4018.69505704313","4145.47714474626","4256.7812740725","4437.06623133845","4698.79157444701","5207.20509148483","5095.16214354836","4714.8996124394","4359.67583040337","4086.2690540139","4058.0242122509","4145.85441360645","4283.2558083369","4526.65391621036","3907.91330807584","4102.66445589065","3784.07810377947","3984.66596829829","4219.94318931861","4569.27428187651","4842.88565433566","5193.91346070867","5607.52705521766","6034.62012591414","6477.77027728137","6920.38895361115","6730.05814265952","6812.40633845402","7017.66364599858","7083.59878715875","7146.5587960175","7322.80862919503","7663.72202887539","8012.51120825339","8353.9682378682","8674.72320233978","9058.73528029721","8743.21699223087",
"Bahrain","BHR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","21184.4749730109","19295.6051761751","17290.7015576971","17906.1703689388","18304.3219389642","16926.4729634828","16571.5967278224","17663.169251298","18240.7418968615","17702.7250730149","17934.9062570079","19407.5779377059","20178.6789134481","22217.9777337988","21622.9593588722","21910.3014115828","22220.9746918666","22281.9305132698","22635.0962958746","22761.1893153745","22955.2718007393","22416.0702275594","21982.098937299","22058.8721481813","22144.5535062363","22066.3827911204","21795.5277642366","21837.4014868584","21562.5850917328","20796.2194690075","20722.0704900745","20516.5562122378","20924.7265270788","21805.1173792575","22395.3395590198","22353.3270134659","22272.9356538297","22167.0337734594","21465.7640453947","20936.084311099","19018.554449692",
"Bahamas, The","BHS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","17734.9769426009","18674.2495011334","19608.6722183653","20608.9376171499","21689.085427645","22863.5950525869","23860.9057143722","25081.8992917756","26161.134894406","27535.918825102","25196.2701523627","24940.8090395225","23531.4573157943","24802.3995893867","20246.9597765705","16903.6762468197","17410.7396666679","18599.9994622206","20775.5015086775","25632.4385860667","26701.327692737","23705.0942347372","24734.6742369776","25065.1065784857","28017.426789458","28786.232757758","28759.0609679653","29100.5542775996","29269.0428472396","30706.0957706862","29686.5779970791","27924.2136920271","26349.0720664969","25939.0437925782","26291.8205924019","27018.95782691","27783.1958052405","29343.9272984797","27710.2530834722","30724.0858188014","31571.3819885261","31910.567089742","32236.8555805285","31273.5886417984","30978.7986925105","31443.4355404401","31632.6430515746","31485.832691771","30191.1270283067","28440.5072625753","28443.8884756689","28248.51506471","28800.2446363964","27755.3228780593","27785.8808372685","27583.8510153692","27706.5135514135","28283.4071372308","28845.6297673412","28908.2516850313","23971.1079949469",
"Bosnia and Herzegovina","BIH","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700.700242416484","870.204858542371","1672.54952891752","2264.78779957249","2619.30890336317","2863.84898295728","3015.05969966224","3144.08636702837","3307.31043368521","3437.05206120822","3644.75898339438","3962.814735817","4177.26182105833","4425.10447473297","4676.51322877648","4558.24787913948","4635.51027337483","4736.6225211441","4770.93162912533","4969.01667796709","5113.67074699367","5352.71889437826","5591.5923450278","5828.7043630856","6096.91949150311","6313.07585817153","6077.04356457794",
"Belarus","BLR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3102.3312813345","3063.60005736517","2763.53034517162","2547.76602301976","2252.31699078187","2024.6089250128","2088.26304292158","2336.21265689013","2544.52680024729","2642.13034281536","2808.57494889476","2956.41530461209","3125.40643982263","3369.02930622984","3780.4759965654","4164.18550822824","4608.73674666689","5028.10690244594","5560.14622910331","5583.70185481887","6029.3967998293","6365.3780531651","6478.70481089972","6542.67841209401","6649.64932834342","6384.81714492541","6215.70186550089","6375.28892983321","6586.2977396088","6725.06047821156","6677.99892589229",
"Belize","BLZ","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1079.32251862634","1100.66075661815","1122.60053124566","1145.62267243602","1169.01029339011","1191.38209308259","1211.37306397818","1233.01307610794","1285.55016068777","1314.89714350099","1345.23508048953","1369.23904037457","1481.17709163819","1534.59634247486","1715.9972733365","1751.51833106086","1726.57798857752","1813.95541853156","1929.6741413457","2040.56097062297","2269.13771947992","2241.52525310003","2181.2581574501","2075.14030353278","2056.39856340785","2019.57041426736","2053.33987002385","2211.63675089913","2364.49447392744","2607.31550706266","2842.42486947982","3108.90605067743","3426.63438643552","3580.85431501349","3514.43324820685","3446.79432221275","3386.45558637039","3381.23637698728","3375.58325259931","3537.76855503951","3863.68020442911","3921.54643519433","3992.56614035846","4251.13981016257","4340.57685821744","4311.28627985992","4402.36369699107","4311.02470044482","4348.18274202577","4249.15959792795","4270.7800308201","4250.3869743326","4253.08766044306","4212.37042085008","4287.4426826203","4308.19014109239","4219.44709567948","4211.61892106456","4251.56867684659","4245.74392596053","3582.9781813196",
"Bermuda","BMU","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","33362.7076155029","34079.7638579494","34762.7120871081","34324.4395547188","37201.9857760141","38039.3200522726","42735.4470187246","47477.6600844709","47562.5258125271","48285.9217441287","50400.5271965312","52514.9723908444","53861.4951330547","55067.0258228811","55966.1753016255","58513.3479068202","63503.9537338798","66997.1895639741","67716.8930296209","68914.2896262974","73204.9910865102","74430.6150668558","69989.3703066388","70781.4037124968","70500.7108623469","68511.4727293858","72462.5055542461","74572.9420513405","76935.4800604743","76628.1744616135","76016.3279600362","73708.5624455409","74200.0894420749","76023.7539562529","75951.0011131894","78726.830311052","80259.6003492901","83440.8699191676","86060.6022389619","88475.2232723943","95861.4217532993","101681.522528728","99529.1975275934","102252.586369248","103944.939615834","105003.182150026","110190.625502305","113236.090907192","110467.717313846","103675.466763517","101875.28407346","98912.9027809322","93327.0312694711","92775.339821166","89153.7559893109","89708.8258715522","90062.1613062341","94309.5848817737","93833.8346049976","94274.2163813149","",
"Bolivia","BOL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","1005.40681871347","1006.59631877575","1042.06234162216","1091.03832057262","1111.69045165706","1142.8915429002","1199.98970766209","1249.67583148902","1328.22928764899","1358.65649245504","1399.5151863504","1439.00802859393","1520.26750180269","1572.745935136","1583.77482717977","1662.48440034492","1701.0918668936","1746.44974353377","1743.38715711545","1708.17102689168","1649.2564628458","1619.79019919875","1524.61436856852","1433.77431518361","1402.22442236079","1350.75407065112","1288.94039449145","1293.28745144847","1303.10658045393","1324.16291357376","1356.54048708689","1398.12242030585","1391.48070694737","1420.74187087555","1456.39475402423","1493.41920392561","1527.11109606818","1570.8259177692","1617.36705484005","1592.73736423883","1601.41546580379","1597.64028460145","1606.90315567394","1620.2641581966","1657.50416181107","1700.18365765813","1750.80243356667","1799.49867714615","1878.10967380369","1909.08278921172","1955.460180975","2024.11783686882","2094.02394900401","2201.39698085879","2286.0131705886","2361.05609944025","2425.55959423837","2490.95644689922","2559.51164356321","2579.89856224262","2345.48479359273",
"Brazil","BRA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","3417.3520158014","3660.39174539881","3740.43323096648","3664.97806366305","3685.49284631115","3692.84565622897","3741.85576723104","3821.46101922858","4147.38172722123","4435.37936440116","4704.31756122819","5108.4029666314","5587.88597587175","6219.51401630692","6623.41582476169","6805.29803366271","7296.34715196648","7453.59017220592","7514.28893665","7835.07024666431","8349.48761265493","7796.85434394983","7660.57808844725","7230.71633176076","7442.97235471246","7862.70334494499","8316.51662802255","8445.71177190921","8276.32675222598","8389.97866544409","7983.74666891469","7963.11201856274","7791.75732446349","8020.60616492599","8311.56083626868","8540.07724699945","8591.01502225594","8744.84603239896","8641.27515676238","8554.07282580212","8803.15257954338","8804.32963670568","8954.83709571","8943.8285809448","9346.03944474749","9535.41857421236","9805.72466244493","10293.5302331844","10710.8722205603","10594.9867563283","11286.2429009115","11627.8102384971","11745.7761620453","11993.4839252147","11951.2089158757","11431.1550399028","10965.9743678207","11021.7185805472","11130.718972217","11203.2749473819","10672.1777388753",
